IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
38.55.122.83,443,TRUE,HKG,HK,,,,AS6134
38.147.163.239,443,TRUE,HKG,HK,,,,AS6134
38.147.190.120,443,TRUE,HKG,HK,,,,AS6134
38.147.191.12,443,TRUE,HKG,HK,,,,AS6134
38.207.132.36,443,TRUE,HKG,HK,,,,AS6134
38.207.132.249,443,TRUE,HKG,SG,,,,AS209699
38.207.133.44,443,TRUE,HKG,HK,,,,AS6134
38.207.133.48,443,TRUE,HKG,HK,,,,AS6134
38.207.133.99,443,TRUE,HKG,HK,,,,AS6134
38.207.133.195,8443,TRUE,HKG,HK,,,,AS6134
45.131.179.101,443,TRUE,HKG,HK,,,,AS6134
45.131.179.106,8443,TRUE,LAX,US,California,,,AS40065
45.135.119.213,8443,TRUE,HKG,HK,,,,AS6134
45.158.230.104,443,TRUE,HKG,HK,,,,AS6134
103.238.227.247,8443,TRUE,HKG,HK,,,,AS6134
103.242.133.57,443,TRUE,LAX,US,California,,,AS40065
103.244.90.20,8443,TRUE,HKG,HK,,,,AS6134
