IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
1.36.43.207,443,TRUE,HKG,HK,,,,AS4760
1.64.183.202,443,TRUE,HKG,HK,,,,AS4760
42.98.239.196,443,TRUE,HKG,HK,,,,AS4760
42.200.173.201,443,TRUE,HKG,HK,,,,AS4760
42.200.176.168,443,TRUE,HKG,HK,,,,AS4760
42.200.230.121,443,TRUE,HKG,HK,,,,AS4760
42.200.231.108,443,TRUE,HKG,HK,,,,AS4760
58.152.13.239,443,TRUE,HKG,HK,,,,AS4760
58.153.27.35,443,TRUE,HKG,HK,,,,AS4760
112.120.10.100,443,TRUE,HKG,HK,,,,AS4760
112.120.48.236,443,TRUE,HKG,HK,,,,AS4760
112.120.125.83,8443,TRUE,HKG,HK,,,,AS4760
112.120.125.115,8443,TRUE,HKG,HK,,,,AS4760
116.48.104.171,443,TRUE,HKG,HK,,,,AS4760
116.48.104.171,8443,TRUE,TPE,TW,Taiwan,,,AS212336
116.49.136.137,443,TRUE,HKG,HK,,,,AS4760
116.49.177.246,8443,TRUE,HKG,HK,,,,AS4760
119.236.195.71,443,TRUE,HKG,HK,,,,AS4760
119.237.12.76,8443,TRUE,HKG,HK,,,,AS4760
203.198.250.82,443,TRUE,HKG,HK,,,,AS4760
203.198.250.82,8443,TRUE,HKG,HK,,,,AS4760
203.218.163.151,443,TRUE,HKG,HK,,,,AS4760
209.9.200.202,443,TRUE,HKG,HK,,,,AS4760
218.102.64.147,443,TRUE,HKG,HK,,,,AS4760
218.102.64.147,8443,TRUE,HKG,HK,,,,AS4760
219.76.13.164,443,TRUE,HKG,HK,,,,AS4760
219.76.13.167,443,TRUE,HKG,HK,,,,AS4760
219.76.13.169,443,TRUE,HKG,HK,,,,AS4760
219.76.13.177,443,TRUE,HKG,HK,,,,AS4760
219.77.102.238,8443,TRUE,HKG,HK,,,,AS4760
219.77.159.49,443,TRUE,HKG,HK,,,,AS4760
219.78.164.118,443,TRUE,HKG,HK,,,,AS4760
